ticket_id,ticket_text,priority
1004444,"greetings please find the attached dump file as requested regards dears, we have new case today , please arrange to check dears, issue still pending not resolved, please arrange to connect sunday in order to complete the investigating regards dears, ok, let's proceed. regards dears, ok, let's proceed. regards dears, we have noticed that after last ph_technical upgrade, the scan date for some ph_items not matching with system date, please find the atatched sample and advice. regards",Medium
1004446,"greetings 10:00 am ph_name time will be fine, i will send a meeting invitation greetings i have reschedule it to sunday ph_user :00 am ph_technical time. greetings please refer to the attached greetings please refer to the attached hi, business roles disabled, you can close the ticket, thanks we are to trying to approve under (business role) but we are getting the below error",Medium
1004471,"greetings ph_item is attached. greetings i will arrange for a meeting with business team and you will let you know. greetings i will arrange for a meeting with business team and you will let you know. dears, this is to address the errors occurring on onus system. ph_items are being accepted but not processed in core. please refer to the screenshots regards,  ph_user",Medium
1004476,pay branch code of ph_name is not available for tellers in ph_name. we have checked with ph_name bank and they have received ph_technical from  ph_user  and ph_name and confirmed that other banks are not facing the same issue. please advise urgently. screen shot attached.,High
1004503,central messages query page not loading and giving an error has occurred in query page,Medium
1004519,"greetings any update ph_technical this agent does not appear on the list of the nearest agent , although the location ph_technical latitude ph_technical longitude ph_technical were added correctly",High
1004526,"greetings done , go ahead regards, ph_technical module - off-balance sheet ph_path on core banking for one of the ph_technical ph_item cannot be opened. the ph_item number is: ph_technical",Medium
1004530,"greetings kindly check the attached image, the first row is from central that shows the message from ph_name, the second row is from bank that shows the latest ph_technical ph_path .950 that has been received and translated to our core banking system. dear, i was trying to connect to the jump server since yesterday but it seems that i cannot, i will check with the team and reply with the updates as soon as possible i have ran the query in the ph_technical schema, and got ph_technical rows as a result greetings kindly check the attached txt file dear, how can i check ph_technical queue? oh ok, i thought from the db. thanks. dear, sorry to keep you waiting all this time, they did not check it, they did it manually and solved the issue. ph_technical very sorry to report back late. dears, the ph_technical was received in ph_name, but we could not trace it in the  ph_user  core banking system scms. kindly assist.",High
1004571,"dears, if we set an account to switch default on mobile account level and if the switch returns error the error is not shown anywhere and the account stucks in rejected status. regards, ph_user .",High
1004647,"greetings i m available at any time . greetings i m available at any time . greetings i'm connecting now with other vendor, will inform you when i finish. regards greetings thank you for your support, you can close this ticket. regards dears, kindly we need your support to deploy the latest fixes on ha and dr. regards",Medium
1004667,"greetings can you please update us on the below. best regards, greetings confirmed on the test site. greetings please note that the new logo has been appeared in prod, thank you for your support best regards, ph_user  bank has changed the logo and the brand. we need it change the old logo with the new one. the art work with different logo sizes are attached.",High
1004687,"greetings kindly advise why approve button is not showing for ph_technical and when her manager is trying to approve its not showing at all. kindly refer the attached email and screenshot for your reference. thanks, ph_user",Medium
1004695,"thank you ph_user i will check with business and get back to you dear all ph_item ph_technical, ph_technical and pay account ph_technical exist on ph_technical integration failed item with error payee name is null . kindly advice this issue . webex link: ph_link regards, ph_user",High
1004761,"greetings kindly we need to provide us with incident report for this issue asap. and explain what do you need from ph_technical team. regards any update dears, kindly any update for ph_name side points below. regards dears, kindly any update for ph_name side points below. regards greetings you find the requested inside the shared sftp . regards greetings kindly find attached log for today failed transactions. regards greetings kindly we need your support ,we have over that ph_technical transaction stuck on status ph_technical approve as attached. regards greetings kindly find attached the payments that stuck on ph_technical and positive pay ,and the logs for the  ph_user . so please check and advise how to permanently fix this issue. regards greetings i'm not able to reach you , please check the attached screenshot, all transaction failed after 1 am. regards greetings kindly find below the transactions id that stuck as positive pay and aml approve ph_technical we need to process these transactions asap. regards greetings kindly any update. greetings this is urgent , we have also ph_technical transaction with status ph_technical failed and the reset button not found, we need also to fix these transactions. regards greetings kindly find below the new id : ph_technical greetings this update for the first ph_technical  ph_user  we need also the ph_technical transaction. regards ok, thanks greetings kindly note that we test normal scenario and received  ph_user  from other bank and the system work fine. so we need to deploy it on production ,we need description for this change to deploy it. regards greetings kindly we need a select statement to extract all payments that submit by resend button for ph_technical ph_path . regards greetings any update. regards greetings kindly find attached the excel, about the stuck  ph_user  until now there is no stuck  ph_user  . regards greetings kindly find attached old  ph_user  that we need to return it to manual handling . dears, kindly your support to check why the system stop sending the request to core that cause the transaction to be failed. check the attached logs",Highest
1004770,"good day , kindly note we have ph_item on failed batches on ph_technical amount ph_technical  ph_item number ph_technical both reset and export are not working for the ph_item and it remains failed. ph_item on onus module amount ph_technical  on failed transactions ph_item number ph_technical . please your help as its almost end of month.",High
1004778,"greetings this is to inform you about the importance of this fix as requested by ph_user . regards. greetings we will check and update you. regards. greetings till now the fix is working fine in test environment. how is the impact on ph_items in production. regards. greetings this is to confirm that the issue is fixed. regards. greetings issue: currently, when the bank reject an ph_technical deposit request ph_technical central will count this as a clearing cycle and will deduct from the available clearing cycle trials (field: ph_technical. ph_technical solution: presentment cycle start from the moment the outward clearing cycle is performed. when the inward cycle is rejected, it shall count is as part of presentment cycle. regards.",High
1004798,ph_user ph_user good morning please your help to return the ph_item ph_technical regards,Highest
1004808,"greetings thank you very much ♥ regards.. greetings kindly note that we have another attached ph_item with special character and we need your support to fix it regards greetings kindly note that we wait a reply from business , i will keep you posted regards.. greetings confirm to add extra validation on uploading the batch by checking the narrative fields if they contain some of these characters to prevent the upload unless the user removes these characters. regards. greetings kindly note that after provided session from your side the tellers now aware to use the application, and we didn't face the issue again , greetings you can close the ticket regards.. greetings kindly we need your help to fix the attached batch that contain special character ph_technical regards..",High
1004836,"dears, we need to allow  ph_user  system to present ph_path ph_name bank ph_items instead of cashier system in our branches (onus ph_items) in order to reflect the ph_technical ph_path on customer account. please call me for further discussion regards",Medium
1004854,"dear  ph_user it is working now fine. we can close the ticket now, if happened again we can reopen regards ph_technical messages not getting processed status after updating the status manually in ph_technical the update statement below: ph_sql",Medium
1004857,dears the overdraft service didn't work to move the following ph_item from branch manager ph_technical verified page to ph_name after the balance for account is greater than zero. ph_technical,Medium
1004859,"greetings kindly note we already added the ip regards greetings as per our conversation yesterday, the user can't work all the time on the new profile noting the problem not always appeared on his main profile. also the problem appeared for more than one user on another ph_technical which indicates the issue not related to the user profile regards greetings kindly note we run the ie as  ph_user  and the same error appeared - as attached regards greetings yes. your colleague  ph_user  added it as compatibility regards dears, the issue still appeared noting there is no screen working fine. the issue appeared on all ph_technical regards greetings kindly note zoom not work on their pcs. you can connect to my ph_technical then we can connect to their side regards greetings kindly note zoom not work on their pcs. you can connect to my ph_technical then we can connect to their side regards dears ph_user ph_user kindly note same issues found on test ph_technical regards sorry ph_user greetings kindly note same issues found on test ph_technical regards greetings sorry but what is the relation between scan page on the workstation and the ph_technical dump? regards dears, we have the case. kindly connect to check regards greetings as per our follow up with the developer, he will provide us with new cap file to be installed on the pc. why we should install it on the server? regards greetings as i understood from our discussion, you need to configure the new ph_technical files on the server kindly advice about the old ph_technical files? are they still working after configuring the server with new ph_technical files? regards greetings kindly to make the new ph_technical file with the same name as old one to avoid changing on server side, because we can't deploy the change as production at all branches one shot. we should deploy at pilot branch and check during pir period regards greetings kindly advice about the attached message regards greetings yes. the system hanged and they restarted  ph_user  system to continue work regards dears, the requested ph_technical ready. kindly arrange to do the needed regards greetings kindly any updates? we need to solve the issue asap regards greetings kindly note we faced errors during scan ph_items. kindly arrange to check it regards kindly find attached dears, kindly any updates? regards dears, the new machine ready. kindly arrange to solve the issue asap regards greetings kindly note we faced the attached error. kindly check and advice regards i ph_technical the symantec greetings kindly reply for our  ph_user  request below ph_technical good morning please to inform the vendor to provide the folders and processes that progress soft is using in order to check ph_path . thank you ph_user  ph_name greetings we are checking with network team if they can exclude the below folders ph_path from symantec scanning regards greetings as per network team, kindly note they can't exclude the user folder from symantec checking but they excluded the .exe files - as attached. we will do another test and inform you regards greetings kindly find attached error appeared while scanning ph_items noting we exclude the .exe files from symantec scan regards kindly any updates? greetings same policy as ph_country ( imported from ph_country ) regards greetings kindly note we know how to exclude files from scanning and we already excluded the provided .exe files from scanning but as ph_name bank policy we can't exclude the user folder from scanning regards greetings kindly note i checked the issue with infrastructure team and it's not applicable to exclude user files for testing purposes regards greetings kindly find attached ph_country team response regards greetings kindly provide expected date to deploy the upgraded version so we can decide to wait the new version or to go with the first suggestions regards greetings with ref. to our phone call and since we don't have log shows that the issue related to symantec, kindly check if we can use a folder not found on the user profile so we can exclude it from symantec checking process regards greetings with ref. to our phone call and since we don't have log shows that the issue related to symantec, kindly check if we can use a folder not found on the user profile so we can exclude it from symantec checking process regards greetings kindly note the below if the system use ph_technical bit kindly use the path “ ph_path ph_path regards greetings i provided one path. it depends on your system if use ph_technical or ph_technical bit on another side, what is your concern of using program file? regards greetings confirmed to postpone the test and to do it on new scan page regards dears, kindly your help to solve the attached error noting its appeared in more than 1 branch regards",High
1004868,"greetings kindly note that the scripts executed successfully ,and we add the year ph_technical to full ,what the next steps. regards dear, kindly we need to open new tab on archive system for 2022. regards",Medium
1004899,"kindly change the customer management, customer mobile and mobile accounts status from waiting approval ph_path to deleted for the below, ph_technical hello, kindly change the customer ph_technical status to approve mobile number ph_technical ph_technical and the below customer ph_technical to deleted, mobile number ph_technical ph_technical ph_name",High
1004926,"greetings kindly note that this issue is for all the customers that comes as waiting approval, regards, ph_user greetings please delete the customer ph_technical with the waiting reply status, and kindly if there are more customers like this please tell us, regards, greetings an example of our issue this customer came as waiting approval we rejected him, now its rejected in customer management and waiting approval in customer mobile regards, ph_user dears, kindly note that every time we reject a waiting approval customer it comes as rejected in the customer management and its still waiting approval in the customer's mobile and we cant even reject it from there please solve it as soon as possible, and kindly delete this customer from your side as we cant delete it from our side cause of this problem, regards, ph_user   ph_user",Highest
1004974,otp - user can move between fields in mobile apps,Low
1004975,on ph_item  ph_user  - when selecting deposit account to write a ph_item wrong error message appears: account does not have any available ph_technical ph_technical new ph_technical for ph_item and central),Low
1004982,change error message for ph_technical ph_item from ph_technical ph_technical deposit is not allowed ph_technical to ph_technical ph_technical date is not due yet ph_technical,Low
1004985,"greetings thank you for the confirmation, lets connect today after settlement at 5 to run deletion job. greetings thank you so much. let us keep monitoring together. hi, let us connect at 5 to check the same. greetings still cleanup is not taking place. ph_technical ph_sql greetings as discussed , lets connect today to check the status. hi, pls find the errors , in cleanup, ph_logs ph_logs ph_logs ph_logs ph_logs ph_logs greetings pls help to verify the data are archived or not, also pls help to confirm is it safe to start archive deletion job now since many data are still pending to be archived. due to backlog we are facing system performance issue so pls help and do needful on this on priority.",Medium
1005010,"all ph_items with arabic beneficiary name got rejection,due to the validation on beneficiary name in clearing stage which needs special format with mssql.",Medium
1005054,"greetings as i am preparing the production deployment, management are asking what is the technical change you are doing to fix this. please share the information along with release instructions. greetings thank you. please join at 3 pm today and could you please share the webex ? greetings thank you for the production support yesterday. we have informed the ph_name team to let us know if any issue they face. we can close this ticket by eod today i believe. greetings as discussed, we have received business approval to deploy the ph_technical fix shared. they have done the testing and have provided the approval. kindly join tomorrow for at 3 ph_technical for production deployment. please also share the release instructions to update the release.",Medium
1005061,"greetings for production will inform you about time and date when an approval is obtained. so by this week we will have a meeting to connect. will connect at 2:30 today for tomcat upgrade in test environment greetings kindly note, as peer  ph_user  to get the certificate via csr. it appears that the private key is expired (similar to what we encountered in test environment last time). therefore, appreciate to connect and update private key (if there are any requirements needed before connecting please let me know). also, will there be downtime in production for updating private key? regards,, greetings we didn't get approval yet. public key has been obtained. though, as  ph_user  required for certificate, we have generated a ph_technical to get certificate though it seems certificate is not generated from ph_technical because private key is expired. therefore, could we meet to check the expired private key in production so we can generate a certificate via csr. will there be downtime for private key issue in production? regards, greetings will check with it and inform you. regards, greetings we can connect today at ph_technical ph_name time if its suitable for you. greetings noted, kindly arrange for tomorrow, ph_technical ph_name time kind regards, greetings kindly send a meeting link to connect at 11am. regards, greetings kindly note that certificate has been generated from ph_technical given. public key from ph_name is obtained certificate has been generated from ph_technical as per  ph_user  https is already configured from ph_name side. will coordinate with someone from it to start the change in production by today . greetings kindly note that certificate has been generated from ph_technical given. public key from ph_name is obtained certificate has been generated from ph_technical as per  ph_user  https is already configured from ph_name side. will coordinate with someone from it to start the change in production by today . greetings waiting for management approval to proceed with the change. hopefully by today to wrap it up. will let you know the time as soon as its approved. regards, ph_user   ph_user . greetings we got approval for ph_technical today. can we please connect today at ph_technical ph_name time. regards, ph_user   ph_user greetings kindly send a meeting to connect. regards, ph_user   ph_user greetings appreciate to push the meeting in teams to ph_technical ph_name time. as  ph_user  will be busy at 10:30. much appreciated. kind regards, ph_user   ph_user . greetings lets have a meeting, at ph_technical ph_name time. regards, ph_user   ph_user . upgrade tomcat to version 9.0.58 (first to be done in test environment configure https in production (has been already done in test environment)",High
1005066,"greetings when the user scan a new ph_technical and enter ph_technical account, the system will send a request to ph_name web service for checking account status. hence, the web service will return reject/ accept depend on the account status. when the web service return rejected response the customer should not able to upload the scanned ph_item. regards, greetings please confirm if we can connect today at 2:30 pm? regards, dears, we have notice that ph_technical was not stopped in the scanning page when the account information return the web service response as rejected. regards,",Medium
1005097,"dear team please update us on the below. gentle reminder thank you dear, will confirm back to you asap please see screenshot attached from the ph_technical test environment greetings regarding the screenshot, yes the message shows when trying to scan more than 5. regarding flush cache this is to be done in test or live? greetings flush cash was done on test environment , local repository was cleared and test was performed, and we found the same issue is there. can only scan 5 ph_items per batch. greetings we are ready regards, greetings what about now ph_technical greetings what about now ph_technical greetings we are ready regards, greetings we are ready for the test tomorrow at 1pm. regards, greetings we are ready for the test tomorrow at 1pm. regards, greetings we are waiting for you. regards, greetings please go ahead with the change and ensure to commit the change in the correct schema. greetings please confirm once you apply the update on the production. greetings we have done testing yesterday with ph_user and it was successful. greetings why was the ticket resolved when we didn't get confirmation if the solution was applied in our production. thank you noted appreciate action asap thank you noted appreciate action asap greetings thank you for your support the below issue has been resolved. best regards, the number of ph_item is limited to 5 ph_items per batch when ph_technical scanning, it used to be up to ph_technical ph_items per batch, please advise on the configuration, see the attached message from the system when scanning more than 5 ph_items per batch.",Medium
1005100,"qr is generated by merchant, but when customers try to scan, it returns invalid qr message url: ph_link ph_technical ph_path .view ph_path",High
1005108,“clear blockings on ph_technical db”,High
1005113,"greetings we have inward ph_item number= ph_technical, ph_technical, pay ph_technical and ph_item date=19-12-2021 , where's ph_technical the ph_item related to customer ph_technical from ph_technical (integration table) and all info the same as attached excel file. but from table ph_technical the customer ph_technical ph_technical this cause a problem for the customer ph_technical where the ph_item doesn't related to him . kindly advice this issue. ph_technical",High
1005127,please close the ticket after clearing the browse it works greetings since couple of weeks we are noticing that  ph_user  url is not opening in normal chrome browser but open in incognito mode. please check,Highest
1005133,kindly advise on the attached vulnerability issues.,Medium
1005150,"dears,, kindly not that we processed ph_technical ph_items (rest) through  ph_user  and all this ph_items credit successfully on our customers’ accounts but we still have ph_technical ph_items on (failed transactions) as below and we can’t processed this through rest so we need your support to solve this issue regards",High
1005215,"greetings as per our checking with os team , please find the below reply kindly to contact the support company to do the needed action to mitigate the vulnerabilities on the ph_name servers. ph_ip_address see attached that shows the installed version on each server and which version will fix the problem greetings as per our checking with os team , please find the below reply kindly to contact the support company to do the needed action to mitigate the vulnerabilities on the ph_name servers. ph_ip_address see attached that shows the installed version on each server and which version will fix the problem greetings please we need to install ph_technical version on test environment before apply on live greetings please we need to install ph_technical version on test environment before apply on live greetings please we need to install ph_technical version on test environment before apply on live greetings please we need to install ph_technical version on test environment before apply on live greetings you can connect any time using the below link : ph_link greetings please confirm that the latest release for java ph_ip_address does not affect on our services regards, greetings any update please regards, greetings please advise on the below , can we deploy the last release of java without affect on services dear  ph_user please provide us the ph_technical or if there list of changes to start our testing on test ph_technical regards, dear  ph_user please note that the ph_technical passed duplicated as per the attached screenshot, please advise. regards, greetings attached with name : ph_technical greetings please find below the request and response : ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical received response ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical you can connect now using the same link previously provided greetings any updates please greetings please advise on the below regards, greetings we face the below error , please advise : request : ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical ph_technical greetings please note that the fix has been tested and works fine thank you and regards, greetings kindly note we are planning to deploy a new release of ph_name today at 11:00 ph_technical , we need your support please thank you and regards, greetings kindly note that every thing is working fine thank you and regards, dears , please confirm if the attached va’s compatible with the recommended version java 8 update ph_technical",Medium
1005228,"dears, partially accepted transactions appears to the client in transactions history, the transaction should not appear in the mini statement unless the transaction is success. regards, ph_user .",High
1005265,"greetings as discussed that we need to take care the transaction default to others if there is no matching of transaction purpose. regards, ph_user greetings can you please confirm is it fix in uat? regards, ph_user greetings we have discussed internally the release note and also i discussed also with that any wrong mapped transaction purpose in ph_name view table should be mapped with ph_technicalothers'. since current fix only will handle the other value but still we will ph_technical with same problem if wrong transaction purpose transaction will process. therefore we request you to provide fix in a such way that if any transaction purpose not matched with current ph_name list then mapped with others and process the transaction to cbo. regards, ph_user greetings we are in process of testing and will confirm asap for release note. regards, ph_user greetings please check and advise as outward transactions are not processed after 1:56 ph_technical regards, ph_user",Blocker
